station ID = gr (Granada)
system = VELETA
signal = 355, perpendicular, photoncounting, dark-subtracted
date, time= 21.02.2022, 19UTC
range,E,N,S,W,channel
1965.0000,3.0907e+07,3.5118e+07,2.4930e+07,3.1654e+07,355xsp
1972.5000,3.1558e+07,3.5473e+07,2.2590e+07,3.0526e+07,355xsp
1980.0000,3.1814e+07,3.5539e+07,2.2989e+07,3.0404e+07,355xsp
1987.5000,3.2166e+07,3.4751e+07,2.2501e+07,3.1471e+07,355xsp
1995.0000,3.3313e+07,3.4316e+07,2.3113e+07,3.0397e+07,355xsp
2002.5000,3.0989e+07,3.5350e+07,2.3658e+07,3.0277e+07,355xsp
2010.0000,3.1074e+07,3.4853e+07,2.4558e+07,3.0404e+07,355xsp
2017.5000,3.1829e+07,3.5351e+07,2.3610e+07,2.7949e+07,355xsp
2025.0000,3.0994e+07,3.5783e+07,2.2909e+07,2.9357e+07,355xsp
2032.5000,3.0995e+07,3.5073e+07,2.3651e+07,2.8387e+07,355xsp
2040.0000,2.9954e+07,3.5996e+07,2.2767e+07,3.0367e+07,355xsp
2047.5000,2.8950e+07,3.3861e+07,2.2087e+07,3.0626e+07,355xsp
2055.0000,3.1536e+07,3.5803e+07,2.2372e+07,2.9097e+07,355xsp
2062.5000,3.0195e+07,3.3833e+07,2.3124e+07,2.9510e+07,355xsp
2070.0000,3.1697e+07,3.3478e+07,2.2872e+07,3.0147e+07,355xsp
2077.5000,3.0160e+07,3.6337e+07,2.2539e+07,2.8821e+07,355xsp
2085.0000,3.0152e+07,3.5501e+07,2.2830e+07,2.8681e+07,355xsp
2092.5000,3.1472e+07,3.4858e+07,2.2565e+07,2.8561e+07,355xsp
2100.0000,2.9757e+07,3.6586e+07,2.1303e+07,2.9298e+07,355xsp
2107.5000,2.9919e+07,3.5075e+07,2.2430e+07,3.0800e+07,355xsp
2115.0000,2.9662e+07,3.5581e+07,2.2793e+07,3.0239e+07,355xsp
2122.5000,3.0689e+07,3.5277e+07,2.2332e+07,2.9903e+07,355xsp
2130.0000,2.9853e+07,3.2838e+07,2.3693e+07,2.9110e+07,355xsp
2137.5000,2.9661e+07,3.4412e+07,2.3544e+07,2.8889e+07,355xsp
2145.0000,2.9309e+07,3.4218e+07,2.2440e+07,3.0621e+07,355xsp
2152.5000,3.0428e+07,3.3699e+07,2.1373e+07,2.8972e+07,355xsp
2160.0000,3.0965e+07,3.4412e+07,2.2806e+07,2.9288e+07,355xsp
2167.5000,3.1348e+07,3.3870e+07,2.2399e+07,2.9325e+07,355xsp
2175.0000,2.9552e+07,3.4047e+07,2.1765e+07,2.9994e+07,355xsp
2182.5000,2.8356e+07,3.3697e+07,2.2491e+07,2.9009e+07,355xsp
2190.0000,3.0073e+07,3.3818e+07,2.3002e+07,2.9264e+07,355xsp
2197.5000,2.9802e+07,3.3940e+07,2.2300e+07,2.9128e+07,355xsp
2205.0000,3.0374e+07,3.3145e+07,2.1589e+07,3.0829e+07,355xsp
2212.5000,2.8932e+07,3.4059e+07,2.1959e+07,2.8252e+07,355xsp
2220.0000,2.8561e+07,3.3602e+07,2.2110e+07,2.9274e+07,355xsp
2227.5000,3.0308e+07,3.4489e+07,2.1149e+07,2.9241e+07,355xsp
2235.0000,3.2339e+07,3.4899e+07,2.3932e+07,2.9472e+07,355xsp
2242.5000,3.0281e+07,3.2259e+07,2.2214e+07,2.8674e+07,355xsp
2250.0000,2.9603e+07,3.4570e+07,2.2275e+07,2.9484e+07,355xsp
2257.5000,2.9090e+07,3.4653e+07,2.1870e+07,2.9414e+07,355xsp
2265.0000,2.9999e+07,3.3208e+07,2.2425e+07,2.9222e+07,355xsp
2272.5000,2.8795e+07,3.1450e+07,2.0800e+07,2.9566e+07,355xsp
2280.0000,2.9408e+07,3.4746e+07,2.2277e+07,2.9312e+07,355xsp
2287.5000,3.0202e+07,3.4604e+07,2.2575e+07,2.9509e+07,355xsp
2295.0000,2.9487e+07,3.3087e+07,2.0702e+07,2.9186e+07,355xsp
2302.5000,2.9308e+07,3.3763e+07,2.0779e+07,2.9098e+07,355xsp
2310.0000,3.0092e+07,3.5505e+07,2.2289e+07,2.8455e+07,355xsp
2317.5000,2.7740e+07,3.3674e+07,2.1448e+07,2.8574e+07,355xsp
2325.0000,2.7955e+07,3.4172e+07,2.1000e+07,2.8108e+07,355xsp
2332.5000,2.8099e+07,3.1836e+07,2.2224e+07,2.8885e+07,355xsp
2340.0000,2.8819e+07,3.3916e+07,2.1777e+07,2.8376e+07,355xsp
2347.5000,2.7830e+07,3.2662e+07,2.0750e+07,2.7859e+07,355xsp
2355.0000,2.7974e+07,3.3804e+07,2.2720e+07,2.8581e+07,355xsp
2362.5000,2.5554e+07,3.4249e+07,2.0441e+07,2.8119e+07,355xsp
2370.0000,2.8591e+07,3.3719e+07,2.2014e+07,2.7396e+07,355xsp
2377.5000,2.7988e+07,3.2159e+07,2.1189e+07,2.7433e+07,355xsp
2385.0000,2.8001e+07,3.3059e+07,2.2098e+07,2.5749e+07,355xsp
